Publication Years,records,% of 7091
2019,1336,18.841
2018,1154,16.274
2017,859,12.114
2016,727,10.252
2015,616,8.687
2014,471,6.642
2013,391,5.514
2012,258,3.638
2011,226,3.187
2010,161,2.27
2009,112,1.579
2008,68,0.959
2007,59,0.832
2006,48,0.677
2005,23,0.324
2004,16,0.226
2003,16,0.226
2002,15,0.212
2001,5,0.071
2000,10,0.141
1999,5,0.071
1998,6,0.085
1997,3,0.042
1996,1,0.014
1992,1,0.014
