Publication Years,records,% of 104
2019,9,8.654
2018,7,6.731
2017,10,9.615
2016,15,14.423
2015,5,4.808
2014,11,10.577
2013,7,6.731
2012,6,5.769
2011,2,1.923
2010,5,4.808
2009,3,2.885
2008,8,7.692
2007,4,3.846
2006,2,1.923
2005,1,0.962
2003,2,1.923
1992,1,0.962
