Publication Years,records,% of 3802
2019,661,17.386
2018,548,14.413
2017,468,12.309
2016,435,11.441
2015,352,9.258
2014,246,6.47
2013,215,5.655
2012,166,4.366
2011,136,3.577
2010,105,2.762
2009,62,1.631
2008,49,1.289
2007,45,1.184
2006,28,0.736
2005,7,0.184
2004,16,0.421
2003,12,0.316
2002,5,0.132
2001,1,0.026
2000,7,0.184
1999,1,0.026
1998,2,0.053
1997,1,
1994,1,
