Publication Years,records,% of 356
2019,58,16.292
2018,45,12.64
2017,60,16.854
2016,48,13.483
2015,37,10.393
2014,32,8.989
2013,22,6.18
2012,14,3.933
2011,13,3.652
2010,12,3.371
2009,4,1.124
2008,4,1.124
2007,5,1.404
2006,1,0.281
2005,1,0.281
